run_id,scenario_key,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
78,llm_baseline,baseline,True,6.0,0.175,50,0.4803030303030303,1.39375,0.19867559523809525,0.6058700209643606,51,0.125,91,0.5143721633888049,1.171875,0.15438244047619049,0.49478079331941544,10,10,11,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
79,llm_baseline,baseline,True,17.0,0.19375000000000003,63,0.4933135215453195,1.309375,0.1862983630952381,0.5821205821205822,32,0.1,104,0.5304212168486739,1.1125,0.1510751488095238,0.46977730646871685,7,21,22,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
80,llm_baseline,baseline,True,10.0,0.2,62,0.482225656877898,1.309375,0.18930431547619048,0.6010471204188481,37,0.13125,99,0.49242424242424243,1.15625,0.16061755952380954,0.509865005192108,6,14,15,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
81,llm_baseline,baseline,True,4.0,0.18125000000000002,50,0.4932935916542474,1.3875,0.19559151785714285,0.608515057113188,46,0.1375,90,0.500763358778626,1.165625,0.17143229166666665,0.5152792413066386,12,8,9,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
82,llm_baseline,baseline,True,7.0,0.175,54,0.5052160953800298,1.31875,0.18682639199880582,0.5851393188854489,36,0.11250000000000002,91,0.5114503816793893,1.153125,0.1566054635020152,0.5083857442348009,9,11,12,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
83,llm_baseline,baseline,True,10.0,0.28125,34,0.4511834319526627,1.4375,0.2354203869047619,0.6496881496881497,61,0.16875,85,0.48665620094191525,1.184375,0.18712425595238097,0.5156081808396125,10,14,15,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
84,llm_baseline,baseline,True,11.0,0.225,61,0.4588938714499253,1.359375,0.20460565476190476,0.6103626943005181,42,0.14375,97,0.5054945054945055,1.171875,0.16712425595238095,0.5180084745762712,7,15,16,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
85,llm_baseline,baseline,True,3.0,0.18125000000000002,71,0.48558421851289835,1.328125,0.19208333333333333,0.5691823899371069,38,0.10624999999999998,101,0.5138461538461538,1.128125,0.16103050595238094,0.48891235480464623,7,7,8,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
86,llm_baseline,baseline,True,7.0,0.13749999999999998,61,0.45949926362297494,1.3625,0.20046502976190475,0.608829568788501,53,0.07500000000000001,108,0.5046875,1.121875,0.16090401785714287,0.47680690399137,13,11,12,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
87,llm_baseline,baseline,True,6.0,0.16874999999999998,55,0.4607250755287009,1.346875,0.18397693452380953,0.5782241014799154,35,0.14375,96,0.48073959938366717,1.15625,0.1600892857142857,0.47003154574132494,12,10,11,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
88,llm_baseline,baseline,True,6.0,0.16875,90,0.4675716440422323,1.25,0.16791666666666666,0.5541535226077813,22,0.0875,124,0.4881889763779528,1.109375,0.1507254464285714,0.48459086078639746,1,10,11,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
89,llm_baseline,baseline,True,8.0,0.33124999999999993,58,0.43759398496240604,1.490625,0.23828869047619045,0.6364572605561277,63,0.2125,95,0.48558421851289835,1.15625,0.1782626488095238,0.5114583333333333,9,12,13,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
90,llm_baseline,baseline,True,10.0,0.18125,65,0.4785932721712538,1.309375,0.18796502976190474,0.5753424657534246,38,0.11875,97,0.5023400936037441,1.1625,0.16680059523809526,0.48986125933831376,10,14,15,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
91,llm_baseline,baseline,True,11.0,0.31249999999999994,53,0.4211309523809524,1.515625,0.23513392857142854,0.6353305785123967,59,0.15000000000000002,93,0.4878048780487805,1.146875,0.18013020833333332,0.48427672955974843,5,15,16,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
92,llm_baseline,baseline,True,4.0,0.2,62,0.48333333333333334,1.35625,0.1902046130952381,0.5816857440166493,46,0.13749999999999998,97,0.5172413793103449,1.1375,0.16284970238095237,0.49056603773584906,7,8,9,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
